author_name,focal_work_id,focal_title,control_work_id,control_title,publication_year,focal_type,focal_topic,control_topic
John A. List,https://openalex.org/W4230818025,Have Air Pollutant Emissions Converged Among U.S. Regions? Evidence from Unit Root Tests,https://openalex.org/W1185789056,Novos padrões de localização industrial? Tendências recentes dos indicadores da produção e do investimento industrial,1999,article,Economic Growth and Productivity,Economic Growth and Productivity
John A. List,https://openalex.org/W2150802554,Optimal Institutional Arrangements for Transboundary Pollutants in a Second-Best World: Evidence from a Differential Game with Asymmetric Players,https://openalex.org/W1496664012,Optimal economic growth and environmental quality,2000,preprint,Climate Change Policy and Economics,Climate Change Policy and Economics
John A. List,https://openalex.org/W2015907439,Market share instability: an application of unit root tests to the cigarette industry,https://openalex.org/W1524535140,Is firm growth proportional? An appraisal of firm size distribution,2001,article,Firm Innovation and Growth,Firm Innovation and Growth
John A. List,https://openalex.org/W1593695196,The hidden costs and returns of incentives: trust and trustworthiness among CEOs,https://openalex.org/W1593705952,Accrual Output Budgeting in Australia : Discussion Paper No. 103,2002,report,Fiscal Policy and Economic Growth,Fiscal Policy and Economic Growth
John A. List,https://openalex.org/W1607125103,Optimal Institutional Arrangements for Pollution Control,https://openalex.org/W53133625,Estudio del bienestar térmico para Ourense,1996,article,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W1564475168,Average Derivative Estimation of Hedonic Price Models,https://openalex.org/W4232577127,International Real Estate Review,2000,article,Housing Market and Economics,Housing Market and Economics
John A. List,https://openalex.org/W3124734430,Environmental Regulations and New Plant Location Decisions: Evidence from a Meta-Analysis,https://openalex.org/W2081868099,"Gasoline taxes, CAFÉ, and the Kyoto protocol",2002,article,Climate Change Policy and Economics,Climate Change Policy and Economics
John A. List,https://openalex.org/W2266260179,Politics and environmental policy: theory and evidence from U.S. states,https://openalex.org/W1987042335,On the multiplicity of efficiency-inducing tax rules,2002,article,Climate Change Policy and Economics,Climate Change Policy and Economics
John A. List,https://openalex.org/W3124708206,DO PROFESSIONAL TRADERS EXHIBIT MYOPIC LOSS AVERSION? AN EXPERIMENTAL ANALYSIS,https://openalex.org/W2041627976,J. Ernest Tanner and Walton Terry Wilford,2002,article,Financial Markets and Investment Strategies,Financial Markets and Investment Strategies
John A. List,https://openalex.org/W3124005821,The Environmental Kuznets Curve: Real Progress or Misspecified Models?,https://openalex.org/W1529685548,Environmental Technology Transfer in a FDI Regime: A Developing Country Perspective,2002,preprint,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W3124687934,Interview Scheduling Strategies of New Ph. D. Economists,https://openalex.org/W2288097459,"Növekvő munkanélküliség, rugalmasabb munkaerőpiac a japán stílusú foglalkoztatási modell átalakulása [Rising unemployment and a more flexible labour market the transformation of the Japanese-style employment model]",2000,article,Labor market dynamics and wage inequality,Labor market dynamics and wage inequality
John A. List,https://openalex.org/W1963684536,Industry chasing and the tax effect: a question of approach,https://openalex.org/W938917300,Two Essays on Commodity Taxation and Distribution.,1998,article,Fiscal Policy and Economic Growth,Fiscal Policy and Economic Growth
John A. List,https://openalex.org/W1988389881,A method for valuing global ecosystem services,https://openalex.org/W2156948403,Carnarvon Gorge: a comment on the sensitivity of consumer surplus estimation,1998,article,Economic and Environmental Valuation,Economic and Environmental Valuation
John A. List,https://openalex.org/W3125894956,The Effects of Environmental Regulations on Foreign Direct Investment,https://openalex.org/W1502513244,The Clean Development Mechanism and its Controversies,2000,preprint,Climate Change Policy and Economics,Climate Change Policy and Economics
John A. List,https://openalex.org/W2599615125,"""Beggar thy Neighbor:"" Testing for Free Riding in State-Level Endangered Species Expenditures",https://openalex.org/W3125170517,On the possibility of a bridge between CBA and CEA: Comments on a paper by Dolan and Edlin,2002,preprint,Economic and Environmental Valuation,Economic and Environmental Valuation
John A. List,https://openalex.org/W2548269444,Environmental Regulations and New Plant Location Decisions: Evidence from a Meta-Analysis,https://openalex.org/W1542175928,DOMESTICS CLIMATE CHANGE POLICIES AND THE WTO,2002,preprint,Climate Change Policy and Economics,Climate Change Policy and Economics
John A. List,https://openalex.org/W2074055764,Ranking State Environmental Outputs: Evidence from Panel Data,https://openalex.org/W2138143631,International trade and environmental quality: a survey,2000,article,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W3124366008,The environmental Kuznets curve: does one size fit all,https://openalex.org/W1590620592,"Trade, Environment, and Public Health in Chile. Evidence from an Economywide Model",1999,preprint,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W1593229184,Testing neoclassical competitive market theory in the field: Some pilot results,https://openalex.org/W3110644024,Statistical analysis of air and sea temperature anomalies,2002,preprint,Complex Systems and Time Series Analysis,Complex Systems and Time Series Analysis
John A. List,https://openalex.org/W2541744363,Have Air Pollutant Emissions Converged Amongst U.S. Regions,https://openalex.org/W3125030902,"Marginal Cost Pricing for Coal Fired Electricity in Coastal Cities of China: The Case of Mawan Electricity Plant in Shenzhen, Guangdong Province",1999,preprint,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W3122453223,Recent Advances in Environmental Economics,https://openalex.org/W3122653791,On the Consequences of the US Withdrawal from the Kyoto/Bonn Protocol,2002,preprint,Climate Change Policy and Economics,Climate Change Policy and Economics
John A. List,https://openalex.org/W1608804795,CLOSING THE BARN DOOR: CONSTRUCTION AND ENDANGERED SPECIES RESTRICTIONS,https://openalex.org/W2068047530,Does Human Population Growth Increase Wildlife Harvesting? An Economic Assessment,2002,article,Economic and Environmental Valuation,Economic and Environmental Valuation
John A. List,https://openalex.org/W2273292222,Testing neoclassical competitive market theory in the field,https://openalex.org/W4248684192,"Third International Conference on Sports Economics, Sports Management and Sports Marketing, February 24-25, 2003, Athens, Greece",2002,article,Sports Analytics and Performance,Sports Analytics and Performance
John A. List,https://openalex.org/W3123058231,US county-level determinants of inbound FDI: evidence from a two-step modified count data model,https://openalex.org/W1596105534,A First Assessment of Environment-Related Trade Barriers,2001,preprint,"Energy, Environment, Economic Growth","Energy, Environment, Economic Growth"
John A. List,https://openalex.org/W2074392440,Is a race to the bottom rational? Evidence from a differential game,https://openalex.org/W4206288915,"State-trait personality characteristics and cognitive efficiency Jones, P.",1999,article,Economic Policies and Impacts,Economic Policies and Impacts
John A. List,https://openalex.org/W3123109464,Do explicit warnings eliminate the hypothetical bias in elicitation procedures? Evidence from field auctions for sportscards,https://openalex.org/W3122211759,The Value Of Risk - Free Cigarettes - Do Smokers Underestimate The Risk?,2001,preprint,Economic and Environmental Valuation,Economic and Environmental Valuation
John A. List,https://openalex.org/W3122975132,Auction mechanisms and the measurement of WTP and WTA,https://openalex.org/W1747169660,Model Selection and Tests for Non Nested Contingent Valuation Models: An Assessment of Methods,2001,preprint,Economic and Environmental Valuation,Economic and Environmental Valuation
John A. List,https://openalex.org/W1488413900,“Beggar thy Neighbor:” Testing for Free Riding in State-Level Endangered Species Expenditures,https://openalex.org/W2018414448,"Total factor productivity decomposition, input price inefficiencies, and public transit systems",2002,article,Economic and Environmental Valuation,Economic and Environmental Valuation
John A. List,https://openalex.org/W3125546781,Gender Differences In Revealed Risk Taking: Evidence From Mutual Fund Investors,https://openalex.org/W3123726759,Mutual Fund Manager Forecasting Behavior,2002,preprint,Financial Markets and Investment Strategies,Financial Markets and Investment Strategies
John A. List,https://openalex.org/W3121151454,Market share instability: an application of unit root tests to the cigarette industry,https://openalex.org/W2137462012,EMPIRICAL ANALYSIS OF HYSTERESIS IN RURAL LABOR MARKETS IN A DEVELOPING COUNTRY: THE CASE OF BANGLADESH,2001,preprint,Firm Innovation and Growth,Firm Innovation and Growth
John A. List,https://openalex.org/W1014439265,Commitment Costs and the Basic Independence Assumption: Evidence from the Field,https://openalex.org/W2113913807,Il disegno di legge delega sulla riforma fiscale: compatibilità e copertura finanziaria,2002,article,Economic Policies and Impacts,Economic Policies and Impacts
John A. List,https://openalex.org/W3124119292,Calibration of the difference between actual and hypothetical valuations in a field experiment,https://openalex.org/W2299535390,Environmental Option Values,1998,preprint,Economic and Environmental Valuation,Economic and Environmental Valuation
Michael C. Jensen,https://openalex.org/W3122187992,THE PERFORMANCE OF MUTUAL FUNDS IN THE PERIOD 1945–1964,https://openalex.org/W4247670413,MENC Ballot Returns,1968,article,Financial Markets and Investment Strategies,Financial Markets and Investment Strategies
Michael C. Jensen,https://openalex.org/W4240307802,The Adjustment of Stock Prices to New Information,https://openalex.org/W2089260477,The Efficiency Analysis of Choices Involving Risk,1969,article,Financial Markets and Investment Strategies,Financial Markets and Investment Strategies
Michael C. Jensen,https://openalex.org/W1575641806,The Capital Asset Pricing Model: Some Empirical Tests,https://openalex.org/W4251044001,Price Impacts of Block Trading on the New York Stock Exchange,1972,article,Financial Markets and Investment Strategies,Financial Markets and Investment Strategies
Michael C. Jensen,https://openalex.org/W2000585652,Studies in the Theory of Capital Markets.,https://openalex.org/W4302610192,The Entropy Law and the Economic Process,1973,article,Economic theories and models,Economic theories and models
Michael C. Jensen,https://openalex.org/W3121738594,RANDOM WALKS AND TECHNICAL THEORIES: SOME ADDITIONAL EVIDENCE,https://openalex.org/W1786793266,The Value Line Contest: 1969,1970,article,Financial Markets and Investment Strategies,Financial Markets and Investment Strategies
Michael C. Jensen,https://openalex.org/W4245335694,Capital Markets: Theory and Evidence,https://openalex.org/W2031563230,The Trade Effects of the 1971 Currency Realignments,1972,article,Global Financial Crisis and Policies,Global Financial Crisis and Policies
Michael C. Jensen,https://openalex.org/W2012798055,"Risk, the Pricing of Capital Assets, and the Evaluation of Investment Portfolios",https://openalex.org/W2132796123,A NOTE ON EARNINGS RISK AND THE COEFFICIENT OF VARIATION,1969,article,Financial Markets and Investment Strategies,Financial Markets and Investment Strategies
Michael C. Jensen,https://openalex.org/W1871068239,Random Walks: Reality or Myth—Comment,https://openalex.org/W2172925473,The Odd-Lot Theory as Revealed by Purchase and Sale Statistics for Individual Stocks,1967,article,Financial Markets and Investment Strategies,Financial Markets and Investment Strategies
Michael C. Jensen,https://openalex.org/W2334067075,Discussion of the Time Series of Behavior of Earnings,https://openalex.org/W2331013666,Discussion of the Time Series Behavior of Earnings,1970,editorial,Financial Reporting and Valuation Research,Financial Reporting and Valuation Research
Michael C. Jensen,https://openalex.org/W2775464730,A study of source credibility with emphasis on author bias,https://openalex.org/W4387797860,Fantasy Measures Of Aggressive Behavior.,1961,dissertation,Misinformation and Its Impacts,"Terrorism, Counterterrorism, and Political Violence"
Manuel Arellano,https://openalex.org/W2118859991,PRACTITIONERS’ CORNER: Computing Robust Standard Errors for Within‐groups Estimators<sup>*</sup>,https://openalex.org/W2331806224,Size Bias in Line Transect Sampling,1987,article,Survey Sampling and Estimation Techniques,Survey Sampling and Estimation Techniques
Manuel Arellano,https://openalex.org/W1964900241,A note on the Anderson-Hsiao estimator for panel data,https://openalex.org/W166195552,The Effect of Simulation Order on Level Accuracy and Power of Monte Carlo Tests,1989,article,Spatial and Panel Data Analysis,Spatial and Panel Data Analysis
Manuel Arellano,https://openalex.org/W1577242883,La econometría de datos de panel,https://openalex.org/W4234253771,"Cumulative Index Econometric Theory Volume 6, 1990",1990,article,Spatial and Panel Data Analysis,Spatial and Panel Data Analysis
Manuel Arellano,https://openalex.org/W2088931338,On the efficient estimation of simultaneous equations with covariance restrictions,https://openalex.org/W4245730579,A Nonmetric Approach to Linear Discriminant Analysis,1989,article,Advanced Statistical Methods and Models,Advanced Statistical Methods and Models
Manuel Arellano,https://openalex.org/W2065633343,An efficient GLS estimator of triangular models with covariance restrictions,https://openalex.org/W2025699967,The asymptotic statistical behaviour of some estimators for a circular structural model,1989,article,Morphological variations and asymmetry,Morphological variations and asymmetry
Manuel Arellano,https://openalex.org/W2026382046,Imhof Approximations to Econometric Estimators,https://openalex.org/W1970007625,The Macroeconomic Effects of False Announcements,1990,article,Monetary Policy and Economic Impact,Monetary Policy and Economic Impact
Manuel Arellano,https://openalex.org/W3121163329,Another Look at the Instrumental Variable Estimation of Error-Components Models,https://openalex.org/W3124603329,Some strange properties of panel data estimators,1990,report,Spatial and Panel Data Analysis,Spatial and Panel Data Analysis
Manuel Arellano,https://openalex.org/W2338724236,Labour Supply and Hours Constraints,https://openalex.org/W145560002,The Weberian Location Triangle,1990,book-chapter,Global trade and economics,Global trade and economics
Manuel Arellano,https://openalex.org/W3125062754,Female Labour Supply and On-the-Job Search: An Empirical Model Estimated using Complementary Data Sets,https://openalex.org/W3124030638,L'effet du salaire minimum sur le chomage des jeunes et des femmes au Quebec: une reestimation et un reexamen de la question,1990,preprint,Labor market dynamics and wage inequality,Labor market dynamics and wage inequality
Manuel Arellano,https://openalex.org/W652574532,Geografia de las Islas Filipinas,https://openalex.org/W633929528,Mythen en legenden van Japan,1912,book,Philippine History and Culture,Philippine History and Culture
Manuel Arellano,https://openalex.org/W949652403,Causalidad y exogeneidad en econometría,https://openalex.org/W2502265614,Creditos como incentivo a exportacao (credito-premio-ipi),1983,article,"Business, Education, Mathematics Research","Business, Education, Mathematics Research"
Manuel Arellano,https://openalex.org/W2442100119,Imhof Approximations to,https://openalex.org/W4253128992,Addendum to the Proceedings of the Professor Hari Kinkar Nandi Memorial International Symposium on Statistics and Probability,1990,article,Statistical Distribution Estimation and Applications,Statistical Distribution Estimation and Applications
Robert M. Solow,https://openalex.org/W2083357193,The Production Function and the Theory of Capital,https://openalex.org/W594249455,Das Geld und die Funktionen des Geldes im Sozialismus und in der Übergangsperiode vom Kapitalismus zum Sozialismus : ein Beitrag zur Diskussion über das Wesen und die Funktionen des Geldes im Sozialismus,1955,article,Political Economy and Marxism,Political Economy and Marxism
Robert M. Solow,https://openalex.org/W2330035571,Balanced Growth under Constant Returns to Scale,https://openalex.org/W4240294737,Committee Decisions with Complementary Valuation.,1953,article,Economic theories and models,Economic theories and models
Robert M. Solow,https://openalex.org/W2313131446,On the Structure of Linear Models,https://openalex.org/W4234210101,The work of the Model Reporting Area,1952,article,Simulation Techniques and Applications,Simulation Techniques and Applications
Robert M. Solow,https://openalex.org/W2330792945,The Theory of Inventory Management,https://openalex.org/W4230660639,Auding Problems,1954,article,Operations Management Techniques,Operations Management Techniques
Robert M. Solow,https://openalex.org/W4229952748,Statistical Inference in Dynamic Economic Models,https://openalex.org/W4243975735,Industrial Fluctuation,1951,article,Complex Systems and Time Series Analysis,Complex Systems and Time Series Analysis
Robert M. Solow,https://openalex.org/W2323466534,An Essay on the Economic Theory of Rank.,https://openalex.org/W2264448515,Demand and Prices,1955,article,Economic Theory and Institutions,Economic Theory and Institutions
Robert M. Solow,https://openalex.org/W2332540687,VI. The Survival of Mathematical Economics,https://openalex.org/W2323997561,Note on the Economic Equilibrium for Nonlinear Models,1954,article,Economic theories and models,Economic theories and models
Robert M. Solow,https://openalex.org/W2073829918,A Note on the Price Level and Interest Rate in a Growth Model,https://openalex.org/W2292986310,Short-Run Effects of Income Change on Expenditure,1953,article,Economic Theory and Policy,Economic Theory and Policy
Robert M. Solow,https://openalex.org/W2331644752,A Note on Dynamic Multipliers,https://openalex.org/W2323031052,A group of Arretine ware,1951,article,Cellular Automata and Applications,Cellular Automata and Applications
Robert M. Solow,https://openalex.org/W4245526702,Application of Linear Programming to the Theory of the Firm.,https://openalex.org/W4210475583,Automatic Computing Machinery,1952,article,Scheduling and Optimization Algorithms,Scheduling and Optimization Algorithms
Robert M. Solow,https://openalex.org/W4238397549,Labor Productivity Functions in Meat Packing,https://openalex.org/W2414414424,TAXATION OF LAND AND AGRICULTURAL INCOMES,1950,article,Agriculture Market Analysis Ukraine,Agriculture Market Analysis Ukraine
Robert M. Solow,https://openalex.org/W2327235184,A New Survey of Demand Analysis,https://openalex.org/W2331017674,"Introduction: Mathematics in Economics--No, No or Yes, Yes, Yes?",1954,article,Economic theories and models,Economic theories and models
Robert M. Solow,https://openalex.org/W2332466266,"Dynamic Growth under Diminishing Returns to Scale, and Balanced Growth under Constant Returns to Scale: A Brief Comment",https://openalex.org/W4390384524,United Nations Publications. — The Economic Growth of Twenty Republics,1954,article,Economic Growth and Productivity,Economic Growth and Productivity
Robert M. Solow,https://openalex.org/W2335400268,"Cahiers du Seminaire d'Econometrie, No. 1.",https://openalex.org/W4238003935,Esquisse d'une theorie du revenu des agriculteurs,1952,article,Agriculture and Rural Development Research,Agriculture and Rural Development Research
Robert M. Solow,https://openalex.org/W4253455495,Some Theory of Sampling,https://openalex.org/W4234006127,Moment Coefficients of the k-Statistics in Samples from a Finite Population,1952,article,Bayesian Methods and Mixture Models,Bayesian Methods and Mixture Models
